school_year,level,school,school_raw,matrix_row_sum,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood
2019-2020,elementary,Monarch K-8,Monarch K-8,297,230.0,67.0,39.0,12.0,0.0,309.0,348.0,0.66
2019-2020,elementary,Eldorado K-8,Eldorado K-8,345,299.0,46.0,29.0,5.0,0.0,350.0,379.0,0.79
2019-2020,elementary,Superior,Superior,420,381.0,39.0,5.0,9.0,0.0,429.0,434.0,0.88
2019-2020,elementary,Gold Hill,Gold Hill,21,5.0,16.0,0.0,0.0,0.0,21.0,21.0,0.24
2019-2020,elementary,Jamestown,Jamestown,20,10.0,10.0,0.0,0.0,0.0,20.0,20.0,0.5
2019-2020,elementary,Nederland,Nederland Elem.,224,223.0,1.0,2.0,0.0,0.0,224.0,226.0,0.99
2019-2020,elementary,BCSIS,BCSIS,304,,304.0,3.0,0.0,0.0,304.0,307.0,
2019-2020,elementary,Boulder Universal,Boulder Universal,2,,2.0,0.0,0.0,0.0,2.0,2.0,
2019-2020,elementary,Halcyon,Halcyon,3,,2.0,0.0,1.0,0.0,3.0,3.0,
2019-2020,elementary,High Peaks,High Peaks,286,,286.0,10.0,0.0,0.0,286.0,296.0,
2019-2020,elementary,Community Montessori,Comm. Montessori,225,,225.0,27.0,0.0,0.0,225.0,252.0,
2019-2020,elementary,University Hill International,Uni-Hill Int.,390,,390.0,26.0,0.0,0.0,390.0,416.0,
2019-2020,elementary,Pioneer,Pioneer,370,,370.0,64.0,0.0,0.0,370.0,434.0,
2019-2020,elementary,Horizons,Horizons,225,,225.0,5.0,0.0,0.0,225.0,230.0,
2019-2020,elementary,Peak to Peak,Peak to Peak,359,,359.0,94.0,0.0,0.0,359.0,453.0,
2019-2020,high,Boulder,Boulder,2096,1918.0,178.0,25.0,12.0,,2108.0,2133.0,0.9
2019-2020,high,Fairview,Fairview,2060,1346.0,714.0,34.0,27.0,,2087.0,2121.0,0.63
2019-2020,high,Broomfield,Broomfield,914,893.0,21.0,633.0,2.0,,916.0,1549.0,0.58
2019-2020,high,Centaurus,Centaurus,1373,1118.0,255.0,58.0,6.0,,1379.0,1437.0,0.78
2019-2020,high,Monarch,Monarch,1518,1325.0,193.0,126.0,9.0,,1527.0,1653.0,0.8
2019-2020,high,Nederland,Nederland,100,99.0,1.0,4.0,1.0,,101.0,105.0,0.94
2019-2020,high,Arapahoe Ridge,Arapahoe Ridge,118,,118.0,12.0,12.0,,130.0,142.0,
2019-2020,high,Boulder Universal,Boulder Universal,40,,40.0,10.0,5.0,,45.0,55.0,
2019-2020,high,Halcyon,Halcyon,11,,11.0,,,,11.0,11.0,
2019-2020,high,New Vista,New Vista,272,,272.0,52.0,,,272.0,324.0,
2019-2020,high,Boulder Prep,Boulder Prep,64,,64.0,40.0,1.0,1.0,66.0,106.0,
