campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2023|cand|Tara Winer,2023,Official Candidate Committee,Tara Winer for Council,2023-OCC-007,Tara Winer,candidate,153.0,13320.33,Tara Winer,council,21255,TRUE,AB,AB,better_boulder;boulder_elevated;boulder_weekly;daily_camera;plan_boulder_county;safer_boulder;sierra_club_indian_peaks;yellow_scene
2023|cand|Terri Brncic,2023,Official Candidate Committee,Terri Brncic for Council,2023-OCC-011,Terri Brncic,candidate,116.0,11210.0,Terri Brncic,council,14365,FALSE,A,A,boulder_elevated;colorado_restaurant_association_boco;plan_boulder_county;safer_boulder
2023|cand|Waylon Lewis,2023,Official Candidate Committee,Waylon Lewis for Boulder,2023-OCC-008,Waylon Lewis,candidate,150.0,11305.0,Waylon Lewis,council,8862,FALSE,B,B,bedrooms_are_for_people;better_boulder;colorado_restaurant_association_boco;sierra_club_indian_peaks;yellow_scene
2023|issue|PLAN-Boulder County Ballot Measure Committee,2023,Ballot Measure Committee,PLAN-Boulder County Ballot Measure Committee,2023-BMC-022,,issue,1.0,50.0,,,,,,,
2023|issue|Safe Zones 4 Kids,2023,Ballot Measure Committee,Safe Zones 4 Kids,2023-BMC-001,,issue,65.0,18434.0,,,,,,,
2023|issue|Solutions not Safe Zones,2023,Ballot Measure Committee,Solutions not Safe Zones,2023-BMC-002,,issue,37.0,4757.21,,,,,,,
2023|issue|Yes on 2A,2023,Ballot Measure Committee,Yes on 2A,2023-BMC-020,,issue,52.0,30012.22,,,,,,,
2024|issue|Airport Neighborhood Campaign,2024,Ballot Measure Committee,Airport Neighborhood Campaign,2024-BMC-001,,issue,4.0,23308.33,,,,,,,
2024|issue|Save Boulder Airport,2024,Ballot Measure Committee,Save Boulder Airport,2024-BMC-002,,issue,121.0,36881.67,,,,,,,
2025|cand|Aaron Stone,2025,Official Candidate Committee,Aaron Stone for Boulder,2025-OCC-014,Aaron Stone,candidate,113.0,5195.04,Aaron Stone,council,2707,FALSE,,,
2025|cand|Jennifer Robins,2025,Official Candidate Committee,Jenny For Boulder,2025-OCC-010,Jennifer Robins,candidate,131.0,13870.0,Jennifer Robins,council,14781,FALSE,A,A,boulder_elevated;open_boulder;plan_boulder_county;stop_antisemitism_colorado
2025|cand|Lauren Folkerts,2025,Official Candidate Committee,Lauren Folkerts for Boulder,2025-OCC-006,Lauren Folkerts,candidate,155.0,11994.0,Lauren Folkerts,council,14222,FALSE,B,B,better_boulder;boulder_area_labor_council;boulder_dsa;boulder_progressives;boulder_weekly;co_black_women_action;co_blueflower_fund;colorado_working_families_party;cwa_colorado_wyoming;daily_camera;new_era_colorado_action_fund;sierra_club_indian_peaks;yellow_scene
2025|cand|Mark Wallach,2025,Official Candidate Committee,Wallach for Council,2025-OCC-009,Mark Wallach,candidate,127.0,11994.0,Mark Wallach,council,17476,TRUE,AB,AB,better_boulder;boulder_elevated;boulder_weekly;daily_camera;open_boulder;plan_boulder_county;stop_antisemitism_colorado
