year,measure,basis,value,unit,source_id
2022,sources_revenue_cost_allocation,adopted,11.048774,musd,snapshot2023
2022,sources_revenue_development_impact_fees,adopted,14.831983,musd,snapshot2023
2022,sources_revenue_franchise_fees,adopted,1.033332,musd,snapshot2023
2022,sources_revenue_grants,adopted,3.067473,musd,snapshot2023
2022,sources_revenue_intergovernmental,adopted,15.285634,musd,snapshot2023
2022,sources_revenue_intragovernmental_charges,adopted,40.718659,musd,snapshot2023
2022,sources_revenue_investment_earnings_bonds,adopted,96.474638,musd,snapshot2023
2022,sources_revenue_leases_rents_royalties,adopted,8.588875,musd,snapshot2023
2022,sources_revenue_licenses_permits_fines,adopted,14.722525,musd,snapshot2023
2022,sources_revenue_misc_sales_materials_goods,adopted,1.560516,musd,snapshot2023
2022,sources_revenue_other,adopted,33.150725,musd,snapshot2023
2022,sources_revenue_property_tax,adopted,53.0092,musd,snapshot2023
2022,sources_revenue_sales_use_tax,adopted,141.001909,musd,snapshot2023
2022,sources_revenue_specific_ownership_tobacco,adopted,2.993454,musd,snapshot2023
2022,sources_revenue_total,adopted,553.452986,musd,snapshot2023
2022,sources_revenue_transfers_in,adopted,22.124637,musd,snapshot2023
2022,sources_revenue_utility,adopted,78.3942,musd,snapshot2023
2022,staffing_fte,adopted,1460.71,fte,books
2022,staffing_fte,restated,1491.71,fte,booksocr
2022,uses_expense_capital,adopted,161.968657,musd,snapshot2023
2022,uses_expense_debt_service,adopted,31.4133,musd,snapshot2023
2022,uses_expense_internal_services,adopted,36.803136,musd,snapshot2023
2022,uses_expense_operating,adopted,104.930558,musd,snapshot2023
2022,uses_expense_personnel,adopted,173.338936,musd,snapshot2023
2022,uses_expense_total,adopted,541.628,musd,snapshot2023
2022,uses_expense_transfers,adopted,33.173414,musd,snapshot2023
2023,budget_capital,adopted,160.8,musd,forecast2026
2023,budget_general_fund,adopted,188.4,musd,books
2023,budget_general_fund_revenue,adopted,180.5,musd,books
2023,budget_operating,adopted,354.6,musd,forecast2026
2023,budget_total,adopted,515.4,musd,forecast2026
2023,net_revenues_less_expenses,total_budget,-23.246022,musd,snapshot2023
2023,property_assessed_value,actual,4227,musd,forecast2026
2023,property_tax_revenue,actual,48.74,musd,forecast2026
2023,revenue_intergovernmental,adopted,24.647,musd,books
2023,revenue_other_unmapped,adopted,157.768,musd,books
2023,revenue_property_tax,adopted,53.052,musd,books
2023,revenue_sales_use_tax,adopted,173.349,musd,books
2023,revenue_total,adopted,492.0,musd,books
2023,revenue_utility,adopted,83.184,musd,books
2023,salesuse_audits_sales,actual,1.62,musd,forecast2026
2023,salesuse_audits_use,actual,1.5,musd,forecast2026
2023,salesuse_construction_use,actual,16.54,musd,forecast2026
2023,salesuse_consumer_business_use,actual,10.29,musd,forecast2026
2023,salesuse_motor_vehicle_use,actual,6.45,musd,forecast2026
2023,salesuse_rec_marijuana_addl,actual,1.39,musd,forecast2026
2023,salesuse_retail,actual,137.73,musd,forecast2026
2023,salesuse_total,actual,175.52,musd,forecast2026
2023,sources_revenue_accommodation_admission_tax,total_budget,10.292147,musd,snapshot2023
2023,sources_revenue_charges_for_services,total_budget,8.330373,musd,snapshot2023
2023,sources_revenue_cost_allocation,total_budget,12.741197,musd,snapshot2023
2023,sources_revenue_development_impact_fees,total_budget,19.255139,musd,snapshot2023
2023,sources_revenue_franchise_fees,total_budget,5.541814,musd,snapshot2023
2023,sources_revenue_grants,total_budget,6.757248,musd,snapshot2023
2023,sources_revenue_intergovernmental,total_budget,24.646751,musd,snapshot2023
2023,sources_revenue_intragovernmental_charges,total_budget,46.625767,musd,snapshot2023
2023,sources_revenue_investment_earnings_bonds,total_budget,52.894429,musd,snapshot2023
2023,sources_revenue_leases_rents_royalties,total_budget,9.471736,musd,snapshot2023
2023,sources_revenue_licenses_permits_fines,total_budget,14.921153,musd,snapshot2023
2023,sources_revenue_misc_sales_materials_goods,total_budget,5.421235,musd,snapshot2023
2023,sources_revenue_other,total_budget,26.704205,musd,snapshot2023
2023,sources_revenue_property_tax,total_budget,53.051677,musd,snapshot2023
2023,sources_revenue_sales_use_tax,total_budget,173.348612,musd,snapshot2023
2023,sources_revenue_specific_ownership_tobacco,total_budget,3.046498,musd,snapshot2023
