year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,21-1022,Healthcare Social Workers,detailed,100,11.8,27.12,56410,1.8,26.25,54600,19.83,22.29,31.08,35.98,41240,46350,64650,74840,0.624,0.58,,
2013,14500,"Boulder, CO",CO,21-1023,Mental Health and Substance Abuse Social Workers,detailed,230,9.9,21.02,43730,3.1,20.97,43610,14.03,17.81,24.45,27.98,29180,37050,50860,58200,1.413,1.7,,
2013,14500,"Boulder, CO",CO,21-1029,"Social Workers, All Other",detailed,80,11.8,18.59,38660,3.3,17.95,37340,15.08,16.16,20.75,22.56,31370,33610,43160,46930,0.478,1.01,,
2013,14500,"Boulder, CO",CO,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,90,13.1,26.02,54120,6.9,24.52,51000,14.76,20.95,32,37.78,30700,43580,66560,78590,0.58,0.89,,
2013,14500,"Boulder, CO",CO,21-1093,Social and Human Service Assistants,detailed,220,13.4,14.96,31120,4.9,14.34,29830,9.16,12.28,17.49,21.26,19040,25550,36370,44230,1.365,0.51,,
2013,14500,"Boulder, CO",CO,21-1099,"Community and Social Service Specialists, All Other",detailed,300,6.2,19.39,40340,4.5,18.11,37660,8.98,13.9,23.8,31.18,18670,28900,49510,64860,1.85,2.64,,
2013,14500,"Boulder, CO",CO,21-2011,Clergy,detailed,30,29.6,25.49,53020,5.2,24.76,51500,13.77,17.15,30.37,41.28,28640,35660,63170,85860,0.185,0.54,,
2013,14500,"Boulder, CO",CO,23-0000,Legal Occupations,major,1300,4.8,48.08,100000,15.4,31.81,66160,19.11,22.5,58.31,#,39740,46800,121290,#,7.994,1.02,,
2013,14500,"Boulder, CO",CO,23-1011,Lawyers,detailed,760,13.3,63.6,132290,16.2,45.01,93610,22.39,27.44,#,#,46570,57080,#,#,4.665,1.04,,
2013,14500,"Boulder, CO",CO,23-2011,Paralegals and Legal Assistants,detailed,410,20.9,24.61,51200,8.1,22.5,46810,15.82,19.27,31.51,35.72,32910,40080,65530,74300,2.496,1.22,,
2013,14500,"Boulder, CO",CO,23-2099,"Legal Support Workers, All Other",detailed,40,8.2,25.24,52510,6,22.58,46960,16.7,19.33,27.32,38.75,34730,40210,56830,80600,0.268,0.78,,
2013,14500,"Boulder, CO",CO,25-0000,"Education, Training, and Library Occupations",major,11640,6.8,27.43,57050,4.9,24.42,50800,13.5,17.64,33.27,43.67,28080,36680,69190,90840,71.423,1.13,,
2013,14500,"Boulder, CO",CO,25-1071,"Health Specialties Teachers, Postsecondary",detailed,80,9.8,*,76180,3.5,*,71600,*,*,*,*,29650,46400,94480,117440,0.507,0.41,TRUE,
2013,14500,"Boulder, CO",CO,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,280,4.8,*,*,*,*,*,*,*,*,*,*,*,*,*,1.691,2.41,TRUE,
2013,14500,"Boulder, CO",CO,25-1194,"Vocational Education Teachers, Postsecondary",detailed,160,21.3,23.74,49390,12,18.92,39360,13.47,15.71,24.42,33.43,28020,32670,50790,69540,1.012,1.11,,
2013,14500,"Boulder, CO",CO,25-1199,"Postsecondary Teachers, All Other",detailed,100,15.3,*,50540,6.5,*,36280,*,*,*,*,26070,29530,56280,93580,0.583,0.4,TRUE,
2013,14500,"Boulder, CO",CO,25-2011,"Preschool Teachers, Except Special Education",detailed,500,15.8,16.37,34060,6.9,15.14,31490,11.72,13.01,18.15,22.72,24380,27070,37760,47250,3.052,1.15,,
