place_fips,year,age_group,age_lo,age_hi,pop
4123850,2000,50-54,50,54,9391
4123850,2000,55-59,55,59,5864
4123850,2000,60-64,60,64,4020
4123850,2000,65-69,65,69,3486
4123850,2000,70-74,70,74,3766
4123850,2000,75-79,75,79,3753
4123850,2000,80-84,80,84,2924
4123850,2000,85+,85,999,2728
4123850,2010,0-4,0,4,7630
4123850,2010,5-9,5,9,7702
4123850,2010,10-14,10,14,8098
4123850,2010,15-17,15,17,5049
4123850,2010,18-19,18,19,8628
4123850,2010,20-24,20,24,20646
4123850,2010,25-29,25,29,12508
4123850,2010,30-34,30,34,10230
4123850,2010,35-39,35,39,9128
4123850,2010,40-44,40,44,8764
4123850,2010,45-49,45,49,9147
4123850,2010,50-54,50,54,9643
4123850,2010,55-59,55,59,10362
4123850,2010,60-64,60,64,8934
4123850,2010,65-69,65,69,5730
4123850,2010,70-74,70,74,3921
4123850,2010,75-79,75,79,3181
4123850,2010,80-84,80,84,3114
4123850,2010,85+,85,999,3770
4123850,2020,0-4,0,4,7260
4123850,2020,5-9,5,9,8219
4123850,2020,10-14,10,14,8603
4123850,2020,15-17,15,17,5269
4123850,2020,18-19,18,19,7082
4123850,2020,20-24,20,24,21419
4123850,2020,25-29,25,29,14042
4123850,2020,30-34,30,34,12678
4123850,2020,35-39,35,39,11705
4123850,2020,40-44,40,44,10578
4123850,2020,45-49,45,49,9768
4123850,2020,50-54,50,54,9045
4123850,2020,55-59,55,59,9231
4123850,2020,60-64,60,64,9693
4123850,2020,65-69,65,69,10501
4123850,2020,70-74,70,74,8907
4123850,2020,75-79,75,79,5579
4123850,2020,80-84,80,84,3348
4123850,2020,85+,85,999,3727
4261000,1990,0-4,0,4,22788
4261000,1990,5-9,5,9,20745
4261000,1990,10-14,10,14,18692
4261000,1990,15-17,15,17,11154
4261000,1990,18-19,18,19,15500
4261000,1990,20-24,20,24,36192
4261000,1990,25-29,25,29,31592
4261000,1990,30-34,30,34,31010
4261000,1990,35-39,35,39,27151
4261000,1990,40-44,40,44,21587
4261000,1990,45-49,45,49,16430
4261000,1990,50-54,50,54,15009
4261000,1990,55-59,55,59,15906
4261000,1990,60-64,60,64,19787
4261000,1990,65-69,65,69,20236
4261000,1990,70-74,70,74,17190
4261000,1990,75-79,75,79,13736
4261000,1990,80-84,80,84,8550
4261000,1990,85+,85,999,6624
4261000,2000,0-4,0,4,17607
4261000,2000,5-9,5,9,19004
4261000,2000,10-14,10,14,18907
4261000,2000,15-17,15,17,10990
4261000,2000,18-19,18,19,14891
4261000,2000,20-24,20,24,34570
4261000,2000,25-29,25,29,25779
4261000,2000,30-34,30,34,23081
4261000,2000,35-39,35,39,23141
4261000,2000,40-44,40,44,23729
4261000,2000,45-49,45,49,22365
4261000,2000,50-54,50,54,18717
4261000,2000,55-59,55,59,14142
4261000,2000,60-64,60,64,12606
4261000,2000,65-69,65,69,12449
4261000,2000,70-74,70,74,14034
4261000,2000,75-79,75,79,12588
4261000,2000,80-84,80,84,8774
4261000,2000,85+,85,999,7189
4261000,2010,0-4,0,4,15109
4261000,2010,5-9,5,9,13026
4261000,2010,10-14,10,14,12848
4261000,2010,15-17,15,17,8816
4261000,2010,18-19,18,19,15533
4261000,2010,20-24,20,24,42212
4261000,2010,25-29,25,29,30648
4261000,2010,30-34,30,34,21092
4261000,2010,35-39,35,39,16269
4261000,2010,40-44,40,44,15721
4261000,2010,45-49,45,49,17805
4261000,2010,50-54,50,54,20089
4261000,2010,55-59,55,59,19011
4261000,2010,60-64,60,64,15374
4261000,2010,65-69,65,69,10913
4261000,2010,70-74,70,74,8776
4261000,2010,75-79,75,79,7654
4261000,2010,80-84,80,84,7461
4261000,2010,85+,85,999,7347
4261000,2020,0-4,0,4,13480
4261000,2020,5-9,5,9,12140
4261000,2020,10-14,10,14,11862
4261000,2020,15-17,15,17,6942
4261000,2020,18-19,18,19,13056
4261000,2020,20-24,20,24,39443
4261000,2020,25-29,25,29,35881
4261000,2020,30-34,30,34,28894
4261000,2020,35-39,35,39,20080
4261000,2020,40-44,40,44,14695
4261000,2020,45-49,45,49,12824
4261000,2020,50-54,50,54,13872
4261000,2020,55-59,55,59,16020
4261000,2020,60-64,60,64,17669
4261000,2020,65-69,65,69,15799
4261000,2020,70-74,70,74,11753
4261000,2020,75-79,75,79,7498
4261000,2020,80-84,80,84,5089
4261000,2020,85+,85,999,5974
4815976,1990,0-4,0,4,2375
4815976,1990,5-9,5,9,2090
4815976,1990,10-14,10,14,1773
4815976,1990,15-17,15,17,1000
4815976,1990,18-19,18,19,8955
4815976,1990,20-24,20,24,19389
4815976,1990,25-29,25,29,4596
4815976,1990,30-34,30,34,3149
4815976,1990,35-39,35,39,2389
4815976,1990,40-44,40,44,1794
4815976,1990,45-49,45,49,1393
4815976,1990,50-54,50,54,879
4815976,1990,55-59,55,59,684
4815976,1990,60-64,60,64,520
4815976,1990,65-69,65,69,479
4815976,1990,70-74,70,74,371
4815976,1990,75-79,75,79,284
4815976,1990,80-84,80,84,205
4815976,1990,85+,85,999,131
4815976,2000,0-4,0,4,3032
4815976,2000,5-9,5,9,2664
4815976,2000,10-14,10,14,2497
4815976,2000,15-17,15,17,1596
4815976,2000,18-19,18,19,10589
4815976,2000,20-24,20,24,24176
4815976,2000,25-29,25,29,5302
4815976,2000,30-34,30,34,3555
4815976,2000,35-39,35,39,2915
4815976,2000,40-44,40,44,2701
4815976,2000,45-49,45,49,2295
4815976,2000,50-54,50,54,1776
4815976,2000,55-59,55,59,1411
4815976,2000,60-64,60,64,920
4815976,2000,65-69,65,69,745
4815976,2000,70-74,70,74,570
4815976,2000,75-79,75,79,500
4815976,2000,80-84,80,84,341
4815976,2000,85+,85,999,305
4815976,2010,0-4,0,4,4526
4815976,2010,5-9,5,9,3910
4815976,2010,10-14,10,14,3386
4815976,2010,15-17,15,17,2030
4815976,2010,18-19,18,19,13548
4815976,2010,20-24,20,24,30850
4815976,2010,25-29,25,29,8675
4815976,2010,30-34,30,34,5247
4815976,2010,35-39,35,39,3944
4815976,2010,40-44,40,44,3190
4815976,2010,45-49,45,49,2895
4815976,2010,50-54,50,54,2901
4815976,2010,55-59,55,59,2457
4815976,2010,60-64,60,64,1923
4815976,2010,65-69,65,69,1470
4815976,2010,70-74,70,74,1046
4815976,2010,75-79,75,79,812
4815976,2010,80-84,80,84,576
4815976,2010,85+,85,999,471
4815976,2020,0-4,0,4,6486
4815976,2020,5-9,5,9,5713
4815976,2020,10-14,10,14,5323
4815976,2020,15-17,15,17,3038
4815976,2020,18-19,18,19,15259
4815976,2020,20-24,20,24,35318
4815976,2020,25-29,25,29,10485
4815976,2020,30-34,30,34,6962
4815976,2020,35-39,35,39,5569
4815976,2020,40-44,40,44,4613
4815976,2020,45-49,45,49,4132
4815976,2020,50-54,50,54,3555
4815976,2020,55-59,55,59,3212
4815976,2020,60-64,60,64,3030
4815976,2020,65-69,65,69,2581
4815976,2020,70-74,70,74,2032
4815976,2020,75-79,75,79,1525
4815976,2020,80-84,80,84,944
4815976,2020,85+,85,999,734
4962470,1990,0-4,0,4,8071
4962470,1990,5-9,5,9,5598
4962470,1990,10-14,10,14,5453
4962470,1990,15-17,15,17,3077
4962470,1990,18-19,18,19,9466
4962470,1990,20-24,20,24,22245
4962470,1990,25-29,25,29,10299
4962470,1990,30-34,30,34,4566
4962470,1990,35-39,35,39,3009
4962470,1990,40-44,40,44,2391
4962470,1990,45-49,45,49,2014
4962470,1990,50-54,50,54,1678
4962470,1990,55-59,55,59,1644
4962470,1990,60-64,60,64,1676
4962470,1990,65-69,65,69,1699
4962470,1990,70-74,70,74,1410
4962470,1990,75-79,75,79,1154
4962470,1990,80-84,80,84,820
4962470,1990,85+,85,999,565
4962470,2000,0-4,0,4,9139
4962470,2000,5-9,5,9,5636
4962470,2000,10-14,10,14,5092
4962470,2000,15-17,15,17,3541
4962470,2000,18-19,18,19,11737
4962470,2000,20-24,20,24,30510
4962470,2000,25-29,25,29,12190
4962470,2000,30-34,30,34,5155
4962470,2000,35-39,35,39,3779
4962470,2000,40-44,40,44,3311
4962470,2000,45-49,45,49,2845
4962470,2000,50-54,50,54,2539
