countyfips,year,age,totalpopulation
13,2000,81,673
13,2000,82,603
13,2000,83,514
13,2000,84,509
13,2000,85,442
13,2000,86,409
13,2000,87,351
13,2000,88,307
13,2000,89,290
13,2000,90,1028
13,2001,0,3504
13,2001,1,3353
13,2001,2,3411
13,2001,3,3347
13,2001,4,3338
13,2001,5,3406
13,2001,6,3403
13,2001,7,3401
13,2001,8,3650
13,2001,9,3706
13,2001,10,3749
13,2001,11,3796
13,2001,12,3755
13,2001,13,3583
13,2001,14,3636
13,2001,15,3690
13,2001,16,3566
13,2001,17,3499
13,2001,18,5176
13,2001,19,6739
13,2001,20,6373
13,2001,21,5738
13,2001,22,4751
13,2001,23,4677
13,2001,24,4672
13,2001,25,4654
13,2001,26,4834
13,2001,27,4511
13,2001,28,4724
13,2001,29,5028
13,2001,30,5158
13,2001,31,5313
13,2001,32,4406
13,2001,33,4204
13,2001,34,4255
13,2001,35,4142
13,2001,36,4551
13,2001,37,4503
13,2001,38,4730
13,2001,39,4761
13,2001,40,4928
13,2001,41,5171
13,2001,42,4902
13,2001,43,5121
13,2001,44,4977
13,2001,45,4931
13,2001,46,5014
13,2001,47,4549
13,2001,48,4732
13,2001,49,4559
13,2001,50,4188
13,2001,51,4245
13,2001,52,3838
13,2001,53,3876
13,2001,54,3804
13,2001,55,2810
13,2001,56,2681
13,2001,57,2590
13,2001,58,2430
13,2001,59,2085
13,2001,60,1971
13,2001,61,1794
13,2001,62,1661
13,2001,63,1583
13,2001,64,1491
13,2001,65,1414
13,2001,66,1286
13,2001,67,1323
13,2001,68,1269
13,2001,69,1136
13,2001,70,1155
13,2001,71,1035
13,2001,72,1059
13,2001,73,1001
13,2001,74,956
13,2001,75,900
13,2001,76,896
13,2001,77,859
13,2001,78,845
13,2001,79,739
13,2001,80,702
13,2001,81,689
13,2001,82,622
13,2001,83,523
13,2001,84,526
13,2001,85,461
13,2001,86,423
13,2001,87,366
13,2001,88,318
13,2001,89,300
13,2001,90,1083
13,2002,0,3512
13,2002,1,3449
13,2002,2,3308
13,2002,3,3370
13,2002,4,3322
13,2002,5,3306
13,2002,6,3371
13,2002,7,3392
13,2002,8,3416
13,2002,9,3667
13,2002,10,3708
13,2002,11,3755
13,2002,12,3823
13,2002,13,3730
13,2002,14,3578
13,2002,15,3589
13,2002,16,3729
13,2002,17,3597
13,2002,18,5132
13,2002,19,7089
13,2002,20,6716
13,2002,21,5979
13,2002,22,4575
13,2002,23,3576
13,2002,24,4207
13,2002,25,4626
13,2002,26,4549
13,2002,27,4819
13,2002,28,4605
13,2002,29,4863
13,2002,30,5246
13,2002,31,5192
13,2002,32,4990
13,2002,33,4223
13,2002,34,4119
13,2002,35,4195
13,2002,36,4022
13,2002,37,4449
13,2002,38,4407
13,2002,39,4709
13,2002,40,4731
13,2002,41,4948
13,2002,42,5108
13,2002,43,4879
13,2002,44,5051
13,2002,45,4972
13,2002,46,4903
13,2002,47,4923
13,2002,48,4517
13,2002,49,4647
13,2002,50,4508
13,2002,51,4122
13,2002,52,4117
13,2002,53,3813
13,2002,54,3795
13,2002,55,3774
13,2002,56,2733
13,2002,57,2647
13,2002,58,2533
13,2002,59,2388
13,2002,60,2039
13,2002,61,1928
13,2002,62,1751
13,2002,63,1597
13,2002,64,1518
13,2002,65,1435
13,2002,66,1349
13,2002,67,1394
13,2002,68,1334
13,2002,69,1182
13,2002,70,1196
13,2002,71,1072
13,2002,72,1093
13,2002,73,1036
13,2002,74,979
13,2002,75,927
13,2002,76,910
13,2002,77,876
13,2002,78,862
13,2002,79,752
13,2002,80,715
13,2002,81,703
13,2002,82,638
13,2002,83,532
13,2002,84,541
13,2002,85,479
13,2002,86,435
13,2002,87,380
13,2002,88,330
13,2002,89,306
13,2002,90,1130
13,2003,0,3563
13,2003,1,3413
13,2003,2,3368
13,2003,3,3242
13,2003,4,3306
13,2003,5,3262
13,2003,6,3237
13,2003,7,3332
13,2003,8,3389
13,2003,9,3387
13,2003,10,3649
13,2003,11,3660
13,2003,12,3759
13,2003,13,3752
13,2003,14,3677
13,2003,15,3491
13,2003,16,3598
13,2003,17,3698
13,2003,18,5116
13,2003,19,6960
13,2003,20,7041
13,2003,21,6265
13,2003,22,4815
13,2003,23,3365
13,2003,24,3067
13,2003,25,4128
13,2003,26,4447
13,2003,27,4482
13,2003,28,4940
13,2003,29,4741
13,2003,30,5090
13,2003,31,5154
13,2003,32,4672
13,2003,33,4692
13,2003,34,4083
13,2003,35,4031
13,2003,36,4038
13,2003,37,3871
13,2003,38,4310
13,2003,39,4355
13,2003,40,4645
13,2003,41,4742
13,2003,42,4814
13,2003,43,5016
13,2003,44,4768
13,2003,45,4986
13,2003,46,4895
13,2003,47,4749
13,2003,48,4839
13,2003,49,4384
13,2003,50,4559
13,2003,51,4400
13,2003,52,3935
13,2003,53,4057
13,2003,54,3703
13,2003,55,3721
13,2003,56,3650
13,2003,57,2653
13,2003,58,2568
13,2003,59,2464
13,2003,60,2310
13,2003,61,1973
13,2003,62,1860
13,2003,63,1673
13,2003,64,1552
13,2003,65,1463
13,2003,66,1421
13,2003,67,1475
13,2003,68,1406
13,2003,69,1234
13,2003,70,1243
13,2003,71,1113
13,2003,72,1131
13,2003,73,1076
13,2003,74,1007
13,2003,75,956
13,2003,76,928
13,2003,77,896
13,2003,78,882
13,2003,79,766
13,2003,80,730
13,2003,81,719
13,2003,82,657
13,2003,83,543
13,2003,84,559
13,2003,85,500
13,2003,86,448
13,2003,87,396
13,2003,88,342
13,2003,89,317
13,2003,90,1183
13,2004,0,3562
13,2004,1,3490
13,2004,2,3369
13,2004,3,3346
13,2004,4,3208
13,2004,5,3286
13,2004,6,3224
13,2004,7,3235
13,2004,8,3379
13,2004,9,3383
13,2004,10,3418
13,2004,11,3619
13,2004,12,3712
13,2004,13,3710
13,2004,14,3718
13,2004,15,3610
13,2004,16,3535
13,2004,17,3580
13,2004,18,5194
13,2004,19,6980
13,2004,20,7020
13,2004,21,6660
13,2004,22,5209
13,2004,23,3634
13,2004,24,2873
13,2004,25,3025
13,2004,26,3985
13,2004,27,4425
13,2004,28,4701
13,2004,29,5199
13,2004,30,5071
13,2004,31,4977
13,2004,32,4534
13,2004,33,4389
13,2004,34,4564
13,2004,35,4054
13,2004,36,3925
13,2004,37,3911
13,2004,38,3788
13,2004,39,4313
13,2004,40,4353
13,2004,41,4738
13,2004,42,4630
13,2004,43,4753
13,2004,44,4949
13,2004,45,4738
13,2004,46,4955
13,2004,47,4771
13,2004,48,4710
13,2004,49,4723
13,2004,50,4345
13,2004,51,4493
13,2004,52,4211
13,2004,53,3919
13,2004,54,3979
13,2004,55,3650
13,2004,56,3646
13,2004,57,3549
13,2004,58,2604
13,2004,59,2520
13,2004,60,2400
13,2004,61,2253
13,2004,62,1915
13,2004,63,1799
13,2004,64,1591
13,2004,65,1495
13,2004,66,1500
13,2004,67,1562
13,2004,68,1488
13,2004,69,1292
13,2004,70,1294
13,2004,71,1159
13,2004,72,1173
13,2004,73,1121
13,2004,74,1038
13,2004,75,990
13,2004,76,948
13,2004,77,919
13,2004,78,904
13,2004,79,784
13,2004,80,746
13,2004,81,739
13,2004,82,679
13,2004,83,555
13,2004,84,579
13,2004,85,521
13,2004,86,462
13,2004,87,412
13,2004,88,354
13,2004,89,327
13,2004,90,1242
13,2005,0,3456
13,2005,1,3471
13,2005,2,3438
13,2005,3,3346
13,2005,4,3295
13,2005,5,3183
13,2005,6,3236
13,2005,7,3217
