year,county_name,district_code,district_name,school_code,school_name,grade,enrollment,source
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,K,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,PK,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,10,115,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,11,145,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,12,117,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,9,137,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,K,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P384,HOLY FAMILY HIGH SCHOOL,PK,0,nonpublic-2003-ed59017200346internet.xls
