year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status
1986,080540001352,1323,,CARRIE MARTIN ELEM SCHOOL,THOMPSON SCH DIST R-2J,,325,,18.0,,40.3506,-105.0995,,1
1986,080336000323,1324,,CARSON ELEM SCHOOL,DENVER SCH DIST 1,,385,,27.0,,39.7174,-104.9242,,1
1986,080408000561,1332,,CARSON JR. HIGH SCHOOL,FOUNTAIN SCH DIST 8,,439,,27.0,,38.732573,-104.801622,,1
1986,080408000560,1334,,ABRAMS ELEM. SCHOOL,FOUNTAIN SCH DIST 8,,624,,30.0,,38.7532,-104.8012,,1
1986,080306000226,1340,,CARVER ELEM SCHOOL,COLORADO SPRINGS SCH DIST 11,,809,,35.0,,38.8888,-104.7422,,1
1986,080249000106,1352,,CASEY JR HIGH SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,462,,25.0,,40.0232,-105.2799,,1
1986,080345000437,1362,,CASTLE ROCK ELEM SCHOOL,DOUGLAS CO SCH DIST RE-1(J),,561,,30.0,,39.3826,-104.8481,,1
1986,080333001335,1372,,CEDAREDGE HIGH SCHOOL,DELTA COUNTY SCH DIST 50(J),,249,,17.0,,38.8945,-107.9194,,1
1986,080333001334,1375,,CEDAREDGE MIDDLE SCHOOL,DELTA COUNTY SCH DIST 50(J),,196,,10.0,,38.891151,-107.920389,,1
1986,080510000843,1378,,CENTAURI HIGH SCHOOL,NORTH CONEJOS SCH DIST RE-1J,,313,,26.0,,37.247361,-105.969364,,1
1986,080249000107,1380,,CENTAURUS HIGH SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,1109,,51.0,,39.9863,-105.1126,,1
1986,080531000874,1382,,CENTENNIAL ELEM SCHOOL,LITTLETON SCH DIST 6,,429,,22.0,,39.6164,-105.0301,,1
1986,080453000663,1383,,CENTENNIAL ELEM SCHOOL,HARRISON SCH DIST 2,,746,,38.0,,38.804256,-104.762223,,1
1986,080441000636,1384,,CENTENNIAL ELEM SCHOOL,GREELEY SCH DIST 6,,586,,26.0,,40.3782,-104.7028,,1
1986,080540000931,1385,,CENTENNIAL ELEM SCHOOL,THOMPSON SCH DIST R-2J,,349,,15.0,,40.4299,-105.0998,,1
1986,080696001204,1386,,TRINIDAD JR. HIGH SCHOOL,TRINIDAD SCH DIST 1,,375,,22.0,,37.170642,-104.515331,,1
1986,080690001173,1388,,CENTENNIAL ELEM SCHOOL,NORTHGLENN-THORNTON S D 12,,775,,32.0,,39.9347,-105.0229,,1
1986,080249000108,1390,,CENTENNIAL JR. HIGH SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,526,,28.0,,40.0448,-105.2685,,1
