year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
2003,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,17.0572,school_sum,,17.0572,2.0,school_panel,,2.0,177.0,177.0,177.0,120.0,27.0,Estimate
2004,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,18.013,school_sum,,18.013,2.0,school_panel,,2.0,158.0,158.0,158.0,130.0,31.0,Estimate
2005,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,20.3189,school_sum,,20.3189,2.0,school_panel,,2.0,149.0,149.0,149.0,103.0,24.0,Estimate
2006,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,16.9694,school_sum,,16.9694,2.0,school_panel,,2.0,136.0,136.0,136.0,98.0,21.0,Estimate
2007,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,17.9106,school_sum,,17.9106,2.0,school_panel,,2.0,123.0,123.0,123.0,96.0,18.0,Estimate
2008,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,18.3529,school_sum,,18.3529,2.0,school_panel,,2.0,115.0,115.0,115.0,80.0,15.0,Estimate
2009,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,18.0001,school_sum,,18.0001,2.0,school_panel,,2.0,101.0,101.0,101.0,74.0,15.0,Estimate
2010,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,17.15,published,17.15,17.15,2.0,school_panel,,2.0,92.0,92.0,92.0,84.0,22.0,Estimate
2011,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,6.51,school_sum,,6.51,2.0,school_panel,,2.0,81.0,81.0,81.0,81.0,25.0,Estimate
2012,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,13.79,school_sum,,13.79,2.0,school_panel,,2.0,78.0,78.0,78.0,72.0,30.0,Estimate
2013,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,15.33,school_sum,,15.33,2.0,school_panel,,2.0,80.0,80.0,80.0,66.0,30.0,Estimate
